127.0.0.1 - - [13/Dec/2023:09:09:58 -0300] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:10:06 -0300] "GET /integrador/index.jsp HTTP/1.1" 200 10185
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:10:06 -0300] "GET /integrador/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:10:06 -0300] "GET /integrador/js/menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:10:09 -0300] "GET /integrador/login.jsp HTTP/1.1" 200 4496
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:10:17 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:10:18 -0300] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:11:29 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:13:17 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 500 1739
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:14:30 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 500 1739
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:16:48 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 500 1739
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:17:52 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:18:48 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 6564
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:26:10 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:34:22 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 686
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:35:59 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 689
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:37:35 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 500 1761
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:39:10 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:39:38 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:39:50 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 500 2039
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:40:25 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 500 2039
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:41:59 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:52:57 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 6564
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:53:32 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:55:23 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:56:44 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:57:52 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:58:03 -0300] "GET /integrador/tickets.jsp HTTP/1.1" 200 5409
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:58:03 -0300] "GET /js/tickets.js HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:58:05 -0300] "GET /integrador/index.jsp HTTP/1.1" 200 10169
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:58:09 -0300] "GET /integrador/FindAllOradorController HTTP/1.1" 200 6564
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:58:11 -0300] "GET /integrador/login.jsp HTTP/1.1" 200 4496
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:58:17 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [13/Dec/2023:09:59:35 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 500 5281
0:0:0:0:0:0:0:1 - - [13/Dec/2023:10:02:05 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 3494
0:0:0:0:0:0:0:1 - - [13/Dec/2023:10:03:30 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 10045
0:0:0:0:0:0:0:1 - - [13/Dec/2023:10:04:33 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [13/Dec/2023:10:04:42 -0300] "POST /integrador/LoginAdminController HTTP/1.1" 200 10045
0:0:0:0:0:0:0:1 - - [13/Dec/2023:10:04:51 -0300] "GET /integrador/UpdateOradorController?id=1 HTTP/1.1" 404 675
